Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.056,0,0.944,600,101,1,713,25,1,500,2000,0.474947233333333,0.0332735263991234,0.996864,0.055824384,NaN,NaN,NaN,0.056,0,0.944,0.056,0
1,0.056,0.004,0.94,600,111,1,712,25,0.92,500,2000,0.479053,0.032386272491,0.996848,0.0598108800000001,NaN,NaN,NaN,0.056,0.004,0.94,0.056,0.004
2,0.058,0.014,0.928,600,133,1,736,25,0.92,500,2000,0.4884136,0.0328474446950401,0.99644,0.0717436799999999,NaN,NaN,NaN,0.058,0.014,0.928,0.058,0.014
3,0.072,0.01,0.918,600,139,1,744,25,0.96,500,2000,0.4960132,0.0337351467457601,0.994716,0.081566712,NaN,NaN,NaN,0.072,0.01,0.918,0.072,0.01
4,0.084,0.012,0.904,600,162,1,772,25,1,500,2000,0.5023134,0.03405760152044,0.9928,0.0953088,NaN,NaN,NaN,0.084,0.012,0.904,0.084,0.012
5,0.106,0.004,0.89,600,157,1,778,25,1,500,2000,0.5109144,0.0354920013126401,0.988748,0.10876228,NaN,NaN,NaN,0.106,0.004,0.89,0.106,0.004
6,0.106,0.012,0.882,600,179,1,793,25,0.96,500,2000,0.5191164,0.0363906648910401,0.98862,0.11665716,NaN,NaN,NaN,0.106,0.012,0.882,0.106,0.012
7,0.138,0.008,0.854,600,209,1,838,25,0.88,500,2000,0.5284164,0.0380381818510401,0.980892,0.143210232,NaN,NaN,NaN,0.138,0.008,0.854,0.138,0.008
8,0.162,0.008,0.83,600,268,1,892,25,1,500,2000,0.5377768,0.03914606706176,0.973692,0.16552764,NaN,NaN,NaN,0.162,0.008,0.83,0.162,0.008
9,0.176,0.012,0.812,600,317,1,945,25,0.96,500,2000,0.5472768,0.0403524578617601,0.96888,0.18214944,NaN,NaN,NaN,0.176,0.012,0.812,0.176,0.012
10,0.184,0.026,0.79,600,351,1,989,25,0.92,500,2000,0.5560368,0.03984231472576,0.965468,0.20274828,NaN,NaN,NaN,0.184,0.026,0.79,0.184,0.026
11,0.206,0.03,0.764,600,369,1,1013,25,0.96,500,2000,0.570517399999999,0.0420053700372401,0.956664,0.225772704,NaN,NaN,NaN,0.206,0.03,0.764,0.206,0.03
12,0.24,0.034,0.726,600,426,1,1086,25,0.92,500,2000,0.5844576,0.04436421156224,0.941244,0.257900856,NaN,NaN,NaN,0.24,0.034,0.726,0.24,0.034
13,0.282,0.02,0.698,600,467,1,1137,25,1,500,2000,0.596438,0.0442568059560001,0.920076,0.277862952,NaN,NaN,NaN,0.282,0.02,0.698,0.282,0.02
14,0.118,0.254,0.628,600,741,1,1488,25,0.76,500,2000,0.612898599999999,0.0441907479780401,0.92156,0.34282032,NaN,NaN,NaN,0.118,0.254,0.628,0.118,0.254
15,0.344,0.064,0.592,600,746,1,1463,25,0.96,500,2000,0.6420388,0.0437256771745601,0.877568,0.358047744,NaN,NaN,NaN,0.344,0.064,0.592,0.344,0.064
16,0.048,0.488,0.464,600,962,1,1841,25,0.88,500,2000,0.6753592,0.04591739289536,0.759552,0.407119872,NaN,NaN,NaN,0.048,0.488,0.464,0.048,0.488
17,0.646,0,0.354,600,998,1,1974,25,1,500,2000,0.7110394,0.04552919758764,0.582684,0.376413864,NaN,NaN,NaN,0.646,0,0.354,0.646,0
18,0.758,0.006,0.236,600,1126,1,2217,25,0.92,500,2000,0.7460798,0.04373828601196,0.4254,0.3250056,NaN,NaN,NaN,0.758,0.006,0.236,0.758,0.006
19,0.878,0.002,0.12,600,1176,1,2431,25,0.96,500,2000,0.7776198,0.04083970862796,0.229112,0.20161856,NaN,NaN,NaN,0.878,0.002,0.12,0.878,0.002
20,0.038,0.93,0.032,600,1286,1,2621,25,0.76,500,2000,0.802799799999999,0.03689237909996,0.133656,0.129379008,NaN,NaN,NaN,0.038,0.93,0.032,0.038,0.93
21,0.986,0,0.014,600,1231,1,2596,25,1,500,2000,0.8226398,0.03268282543596,0.0278040000000001,0.0274147440000001,NaN,NaN,NaN,0.986,0,0.014,0.986,0
22,0.998,0.002,0,600,1202,1,2605,25,0.96,500,2000,0.836639799999999,0.02955331103596,0.003992,0.003992,NaN,NaN,NaN,0.998,0.002,0,0.998,0.002
23,1,0,0,600,1160,1,2604,25,1,500,2000,0.8471398,0.02684672523596,0,0,NaN,NaN,NaN,1,0,0,1,0
24,1,0,0,600,1135,1,2598,25,1,500,2000,0.8539598,0.02506838996396,0,0,NaN,NaN,NaN,1,0,0,1,0
25,0.998,0.002,0,600,1148,1,2607,25,0.96,500,2000,0.8582198,0.02375395686796,0.003992,0.003992,NaN,NaN,NaN,0.998,0.002,0,0.998,0.002
26,1,0,0,600,1142,1,2601,25,1,500,2000,0.861479799999999,0.02259778817196,0,0,NaN,NaN,NaN,1,0,0,1,0
27,0.998,0.002,0,600,1137,1,2604,25,0.96,500,2000,0.8636598,0.02181121984396,0.003992,0.003992,NaN,NaN,NaN,0.998,0.002,0,0.998,0.002
28,0.998,0.002,0,600,1126,1,2596,25,0.96,500,2000,0.865099799999999,0.02102609401996,0.003992,0.003992,NaN,NaN,NaN,0.998,0.002,0,0.998,0.002
