Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.0454,0.004,0.9506,1000,220,1,1240,49,0.918367346938776,992,2000,0.3873928125,0.00407029530605153,0.997925947905827,0.0492975418265479,NaN,NaN,NaN,0.0454,0.004,0.9506,0.0454,0.004
1,0.0444,0.004,0.9516,1000,240,0.9796,1240,49,0.897959183673469,992,2000,0.392952822580645,0.00398208317751691,0.99801638917794,0.0483039932362123,NaN,NaN,NaN,0.0444,0.004,0.9516,0.0444,0.004
2,0.0454,0.006,0.9486,1000,225,1,1227,49,0.877551020408163,992,2000,0.402075806451613,0.00566041070499479,0.997905624024454,0.0512923490748569,NaN,NaN,NaN,0.0454,0.006,0.9486,0.0454,0.006
3,0.0494,0.004,0.9466,1000,232,1,1234,49,0.938775510204082,992,2000,0.413043548387097,0.00882137584547347,0.997543858936004,0.0532688420671826,NaN,NaN,NaN,0.0494,0.004,0.9466,0.0494,0.004
4,0.0665,0.001,0.9325,1000,260,0.9796,1267,49,0.959183673469388,992,2000,0.427015322580645,0.0147295976684443,0.995572442442768,0.0672011398648869,NaN,NaN,NaN,0.0665,0.001,0.9325,0.0665,0.001
5,0.0827,0.0121,0.9052,1000,364,1,1396,49,0.857142857142857,992,2000,0.440886290322581,0.0211022043281737,0.993020779136316,0.0941383698621228,NaN,NaN,NaN,0.0827,0.0121,0.9052,0.0827,0.0121
6,0.1492,0.0141,0.8367,1000,527,1,1676,49,0.938775510204082,992,2000,0.464142338709677,0.0332712603042078,0.977542111082206,0.159632626739724,NaN,NaN,NaN,0.1492,0.0141,0.8367,0.1492,0.0141
7,0.1865,0.0464,0.7671,1000,692,1,1957,49,0.877551020408163,992,2000,0.480825806451613,0.0359385861082206,0.963070491350156,0.224299117435451,NaN,NaN,NaN,0.1865,0.0464,0.7671,0.1865,0.0464
8,0.1794,0.0726,0.748,1000,753,1,2009,49,0.857142857142857,992,2000,0.499041532258064,0.0364782143234586,0.962534957075962,0.242558809183142,NaN,NaN,NaN,0.1794,0.0726,0.748,0.1794,0.0726
9,0.2782,0.0262,0.6956,1000,893,1,2190,49,0.959183673469388,992,2000,0.516370161290322,0.0387600802386836,0.921903453433923,0.280627411225286,NaN,NaN,NaN,0.2782,0.0262,0.6956,0.2782,0.0262
10,0.2661,0.0938,0.6401,1000,1018,1,2404,49,0.836734693877551,992,2000,0.535795564516131,0.0393227016738748,0.920386275689386,0.33124702062061,NaN,NaN,NaN,0.2661,0.0938,0.6401,0.2661,0.0938
11,0.2228,0.1966,0.5806,1000,1219,0.9796,2683,49,0.816326530612245,992,2000,0.562539516129032,0.0435636052126691,0.911727286030177,0.382378423761056,NaN,NaN,NaN,0.2228,0.1966,0.5806,0.2228,0.1966
12,0.2671,0.2077,0.5252,1000,1335,1,2886,49,0.897959183673469,992,2000,0.596874193548388,0.0511645941727366,0.885514560028616,0.420442313101587,NaN,NaN,NaN,0.2671,0.2077,0.5252,0.2671,0.2077
13,0.3548,0.1683,0.4768,1000,1381,1,3056,49,0.918367346938776,992,2000,0.627075806451612,0.0572487171566077,0.845748853733091,0.442495800273153,NaN,NaN,NaN,0.3548,0.1683,0.4768,0.3548,0.1683
14,0.5827,0.0161,0.4012,1000,1552,1,3355,49,0.979591836734694,992,2000,0.648577822580646,0.0573993966855814,0.660245675078044,0.395355110236733,NaN,NaN,NaN,0.5827,0.0161,0.4012,0.5827,0.0161
15,0.631,0,0.369,1000,1539,1,3458,49,1,992,2000,0.669515322580645,0.0554845371845733,0.60177793314256,0.379721875812955,NaN,NaN,NaN,0.631,0,0.369,0.631,0
16,0.4627,0.1986,0.3387,1000,1681,1,3650,49,0.979591836734694,992,2000,0.691934677419355,0.0548077226684443,0.746469741805411,0.493640440255918,NaN,NaN,NaN,0.4627,0.1986,0.3387,0.4627,0.1986
17,0.6956,0.003,0.3014,1000,1672,1,3721,49,0.938775510204082,992,2000,0.7141625,0.0538271452872983,0.516180858155567,0.360603947507479,NaN,NaN,NaN,0.6956,0.003,0.3014,0.6956,0.003
18,0.7429,0.001,0.256,1000,1737,1,3901,49,0.979591836734694,992,2000,0.733214919354839,0.0520053174387031,0.448033867715921,0.333337197580645,NaN,NaN,NaN,0.7429,0.001,0.256,0.7429,0.001
19,0.7631,0.0171,0.2198,1000,1771,1,4039,49,0.979591836734694,992,2000,0.751087903225807,0.0499117256601197,0.417377325052029,0.325637789005593,NaN,NaN,NaN,0.7631,0.0171,0.2198,0.7631,0.0171
20,0.7994,0.001,0.1996,1000,1803,1,4103,49,0.979591836734694,992,2000,0.76673306451613,0.0469858411648023,0.36096635991155,0.288917474473205,NaN,NaN,NaN,0.7994,0.001,0.1996,0.7994,0.001
21,0.8175,0,0.1825,1000,1807,1,4153,49,1,992,2000,0.780745161290322,0.0446280111862644,0.331627820954735,0.271105743630496,NaN,NaN,NaN,0.8175,0,0.1825,0.8175,0
22,0.6462,0.1966,0.1573,1000,2325,1,4951,49,0.959183673469388,992,2000,0.792317741935484,0.0417747187174818,0.543824385405827,0.45828080958149,NaN,NaN,NaN,0.6462,0.1966,0.1573,0.6462,0.1966
23,0.7671,0.1018,0.131,1000,2063,1,4523,49,0.897959183673469,992,2000,0.803668548387096,0.0390175073978928,0.401134479058273,0.348585862301639,NaN,NaN,NaN,0.7671,0.1018,0.131,0.7671,0.1018
24,0.8841,0.001,0.1149,1000,1929,1,4418,49,0.979591836734694,992,2000,0.81462620967742,0.0362997755227302,0.218414655957336,0.193318811987838,NaN,NaN,NaN,0.8841,0.001,0.1149,0.8841,0.001
25,0.8861,0.004,0.1099,1000,2005,1,4472,49,0.918367346938776,992,2000,0.823688709677418,0.033961919549948,0.214830539477107,0.191220663188573,NaN,NaN,NaN,0.8861,0.004,0.1099,0.8861,0.004
26,0.7238,0.1794,0.0968,1000,2104,1,4627,49,0.918367346938776,992,2000,0.831420564516129,0.0318812198190362,0.443930476066597,0.40095800598335,NaN,NaN,NaN,0.7238,0.1794,0.0968,0.7238,0.1794
27,0.9153,0.001,0.0837,1000,1998,1,4550,49,0.979591836734694,992,2000,0.837337903225806,0.0299810804988294,0.162183557167014,0.148608793432135,NaN,NaN,NaN,0.9153,0.001,0.0837,0.9153,0.001
28,0.9264,0.002,0.0716,1000,2029,1,4611,49,0.959183673469388,992,2000,0.843487096774193,0.0279054630593133,0.141758056386577,0.131608179549298,NaN,NaN,NaN,0.9264,0.002,0.0716,0.9264,0.002
29,0.9385,0,0.0615,1000,1986,1,4644,49,1,992,2000,0.849152419354837,0.0262712795102758,0.119202612838189,0.11187165214864,NaN,NaN,NaN,0.9385,0,0.0615,0.9385,0
30,0.1018,0.8407,0.0575,1000,2147,1,4757,49,0.938775510204082,992,2000,0.85315443548387,0.0249204083271007,0.282813922671696,0.266552122118074,NaN,NaN,NaN,0.1018,0.8407,0.0575,0.1018,0.8407
31,0.9587,0,0.0413,1000,2060,1,4701,49,1,992,2000,0.856360080645162,0.0238042589709613,0.0809530680931323,0.0776097063808859,NaN,NaN,NaN,0.9587,0,0.0413,0.9587,0
32,0.9627,0,0.0373,1000,2086,1,4750,49,1,992,2000,0.860372177419353,0.0222659541452589,0.0732056045135276,0.070475035465173,NaN,NaN,NaN,0.9627,0,0.0373,0.9627,0
33,0.9708,0.001,0.0282,1000,2081,1,4751,49,0.979591836734694,992,2000,0.863940725806452,0.020885954470441,0.0576121065296565,0.0559874451255202,NaN,NaN,NaN,0.9708,0.001,0.0282,0.9708,0.001
34,0.9758,0,0.0242,1000,2091,1,4764,49,1,992,2000,0.867297580645161,0.0196221867683403,0.0478017689906347,0.0466449661810613,NaN,NaN,NaN,0.9758,0,0.0242,0.9758,0
35,0.9788,0,0.0212,1000,2123,1,4785,49,1,992,2000,0.870442741935484,0.0185422212376431,0.0418905680931321,0.0410024880495577,NaN,NaN,NaN,0.9788,0,0.0212,0.9788,0
36,0.6724,0.3135,0.0141,1000,2226,1,4968,49,0.897959183673469,992,2000,0.872983064516129,0.0177576153583507,0.449619130463059,0.44327950072353,NaN,NaN,NaN,0.6724,0.3135,0.0141,0.6724,0.3135
37,0.9899,0,0.0101,1000,2078,1,4832,49,1,992,2000,0.874989112903226,0.0170169231879228,0.0200596709157129,0.0198570682394642,NaN,NaN,NaN,0.9899,0,0.0101,0.9899,0
38,0.9929,0,0.0071,1000,2115,1,4853,49,1,992,2000,0.876985080645161,0.0164276964709613,0.0140631097164412,0.0139632616374545,NaN,NaN,NaN,0.9929,0,0.0071,0.9929,0
39,0.996,0.001,0.003,1000,2158,1,4862,49,0.979591836734694,992,2000,0.87838629032258,0.0160307325539803,0.00804724082986474,0.00802309910737515,NaN,NaN,NaN,0.996,0.001,0.003,0.996,0.001
40,0.6573,0.3387,0.004,1000,2141,1,4928,49,1,992,2000,0.876460887096774,0.0162836318572776,0.453287591050989,0.451474440686785,NaN,NaN,NaN,0.6573,0.3387,0.004,0.6573,0.3387
41,0.3558,0.6442,0,1000,4490,1,9113,49,0.857142857142857,992,2000,0.87689435483871,0.0163092802907128,0.458439694979188,0.458439694979188,NaN,NaN,NaN,0.3558,0.6442,0,0.3558,0.6442
42,1,0,0,1000,2116,1,4862,49,1,992,2000,0.877216935483871,0.0162773734228668,0,0,NaN,NaN,NaN,1,0,0,1,0
43,0.0444,0.9546,0.001,1000,2217,1,4966,49,0.877551020408163,992,2000,0.877680645161291,0.016239308012487,0.0867006617455776,0.086613961083832,NaN,NaN,NaN,0.0444,0.9546,0.001,0.0444,0.9546
44,0.6946,0.3054,0,1000,2206,1,5045,49,0.938775510204082,992,2000,0.87783185483871,0.0161296337433338,0.424295574271592,0.424295574271592,NaN,NaN,NaN,0.6946,0.3054,0,0.6946,0.3054
45,0.999,0.001,0,1000,2082,1,4856,49,0.979591836734694,992,2000,0.877650403225807,0.0161271647982245,0.00201409664412067,0.00201409664412067,NaN,NaN,NaN,0.999,0.001,0,0.999,0.001
46,0.9929,0.004,0.003,1000,2081,1,4848,49,0.918367346938776,992,2000,0.877650403225807,0.0161271647982245,0.0140468506113424,0.0140047100595084,NaN,NaN,NaN,0.9929,0.004,0.003,0.9929,0.004
47,0.7621,0.2369,0.001,1000,2366,1,5255,49,0.938775510204082,992,2000,0.877771370967742,0.0160418557126366,0.36308918932102,0.362726100131699,NaN,NaN,NaN,0.7621,0.2369,0.001,0.7621,0.2369
48,0.0393,0.9607,0,1000,2212,1,4951,49,0.795918367346939,992,2000,0.877942741935485,0.015946152689256,0.0755377699011446,0.0755377699011446,NaN,NaN,NaN,0.0393,0.9607,0,0.0393,0.9607
49,0.999,0.001,0,1000,2144,1,4870,49,0.979591836734694,992,2000,0.877942741935485,0.015946152689256,0.00201409664412067,0.00201409664412067,NaN,NaN,NaN,0.999,0.001,0,0.999,0.001
50,0.0938,0.9052,0.001,1000,3938,1,8767,49,0.795918367346939,992,2000,0.870735080645161,0.0170281248983806,0.171747975741415,0.171576227765674,NaN,NaN,NaN,0.0938,0.9052,0.001,0.0938,0.9052
51,0.2228,0.7752,0.002,1000,2671,1,5573,49,0.836734693877551,992,2000,0.868779435483871,0.0177223488512943,0.349430524843913,0.348731663794225,NaN,NaN,NaN,0.2228,0.7752,0.002,0.2228,0.7752
