Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.0467,0.0033,0.95,400,126,1,533,15,0.933333333333333,300,2000,0.452510651455027,0.0242663183618452,0.997811111111111,0.0498905555555556,NaN,NaN,NaN,0.0467,0.0033,0.95,0.0467,0.0033
1,0.0567,0,0.9433,400,93,1,495,15,1,300,2000,0.465463,0.0261091585976667,0.996788888888889,0.05651793,NaN,NaN,NaN,0.0567,0,0.9433,0.0567,0
2,0.0933,0.0033,0.9033,400,116,1,525,15,1,300,2000,0.484730333333334,0.0311653203132222,0.991277777777778,0.0958565611111111,NaN,NaN,NaN,0.0933,0.0033,0.9033,0.0933,0.0033
3,0.1267,0.0067,0.8667,400,151,1,570,15,1,300,2000,0.498164,0.0339298521706667,0.983911111111111,0.131155351111111,NaN,NaN,NaN,0.1267,0.0067,0.8667,0.1267,0.0067
4,0.15,0.0233,0.8267,400,153,1,597,15,1,300,2000,0.512897333333333,0.0378677751928889,0.976955555555556,0.169306397777778,NaN,NaN,NaN,0.15,0.0233,0.8267,0.15,0.0233
5,0.1967,0.01,0.7933,400,173,1,632,15,0.933333333333333,300,2000,0.527264333333333,0.0405437458945556,0.961222222222222,0.198684633333333,NaN,NaN,NaN,0.1967,0.01,0.7933,0.1967,0.01
6,0.2433,0.02,0.7367,400,222,1,688,15,0.933333333333333,300,2000,0.544498333333334,0.0442649548305555,0.940388888888889,0.247604394444444,NaN,NaN,NaN,0.2433,0.02,0.7367,0.2433,0.02
7,0.2167,0.0867,0.6967,400,282,1,760,15,0.933333333333333,300,2000,0.560965,0.0467522719416666,0.945544444444444,0.28678363,NaN,NaN,NaN,0.2167,0.0867,0.6967,0.2167,0.0867
8,0.2933,0.0367,0.67,400,278,1,768,15,0.933333333333333,300,2000,0.580365333333333,0.0499213963982222,0.912611111111111,0.301161666666667,NaN,NaN,NaN,0.2933,0.0367,0.67,0.2933,0.0367
9,0.3733,0.06,0.5667,400,370,1,923,15,1,300,2000,0.600098666666666,0.0520475201315555,0.857022222222222,0.371347728888889,NaN,NaN,NaN,0.3733,0.06,0.5667,0.3733,0.06
10,0.33,0.1467,0.5233,400,416,1,954,15,1,300,2000,0.617432333333333,0.0512327103212223,0.869588888888889,0.414533023333333,NaN,NaN,NaN,0.33,0.1467,0.5233,0.33,0.1467
11,0.52,0.0133,0.4667,400,491,1,1030,15,0.933333333333333,300,2000,0.639965333333333,0.0539668886648889,0.729422222222222,0.389000871111111,NaN,NaN,NaN,0.52,0.0133,0.4667,0.52,0.0133
12,0.5067,0.0767,0.4167,400,471,1,1044,15,0.866666666666667,300,2000,0.659932,0.0548745652426667,0.737411111111111,0.430131901111111,NaN,NaN,NaN,0.5067,0.0767,0.4167,0.5067,0.0767
13,0.38,0.25,0.37,400,536,1,1118,15,0.866666666666667,300,2000,0.678432333333333,0.0552750589878889,0.7931,0.499653,NaN,NaN,NaN,0.38,0.25,0.37,0.38,0.25
14,0.6167,0.0233,0.36,400,496,1,1097,15,0.933333333333333,300,2000,0.694032333333334,0.0562737635212222,0.619177777777778,0.396273777777778,NaN,NaN,NaN,0.6167,0.0233,0.36,0.6167,0.0233
15,0.62,0.0267,0.3533,400,499,1,1102,15,0.866666666666667,300,2000,0.708432333333334,0.0567304723212223,0.614888888888889,0.397648644444445,NaN,NaN,NaN,0.62,0.0267,0.3533,0.62,0.0267
16,0.1233,0.5533,0.3233,400,623,1,1213,15,0.8,300,2000,0.716399333333334,0.0562321851328889,0.678611111111111,0.459216138888889,NaN,NaN,NaN,0.1233,0.5533,0.3233,0.1233,0.5533
17,0.6967,0,0.3033,400,579,1,1190,15,1,300,2000,0.725399333333334,0.0548084637995556,0.514655555555556,0.358560525555556,NaN,NaN,NaN,0.6967,0,0.3033,0.6967,0
18,0.6333,0.0767,0.29,400,602,1,1226,15,1,300,2000,0.734832666666667,0.0526571619328889,0.593011111111111,0.421037888888889,NaN,NaN,NaN,0.6333,0.0767,0.29,0.6333,0.0767
19,0.6367,0.1067,0.2567,400,570,1,1248,15,0.933333333333333,300,2000,0.743466,0.050531243444,0.583277777777778,0.433550372222222,NaN,NaN,NaN,0.6367,0.1067,0.2567,0.6367,0.1067
20,0.7433,0.0067,0.25,400,590,1,1245,15,0.866666666666667,300,2000,0.749532666666667,0.0478429315328889,0.447411111111111,0.335558333333333,NaN,NaN,NaN,0.7433,0.0067,0.25,0.7433,0.0067
21,0.77,0.0033,0.2267,400,605,1,1270,15,0.933333333333333,300,2000,0.755699333333333,0.0467522341995556,0.407088888888889,0.314801837777778,NaN,NaN,NaN,0.77,0.0033,0.2267,0.77,0.0033
22,0.1333,0.6533,0.2133,400,662,1,1322,15,0.8,300,2000,0.767066,0.044545408244,0.555377777777778,0.436915697777778,NaN,NaN,NaN,0.1333,0.6533,0.2133,0.1333,0.6533
23,0.7667,0.0333,0.2,400,623,1,1308,15,1,300,2000,0.775932666666666,0.0435032600662222,0.411111111111111,0.328888888888889,NaN,NaN,NaN,0.7667,0.0333,0.2,0.7667,0.0333
24,0.82,0,0.18,400,617,1,1325,15,1,300,2000,0.786599333333333,0.0423477187328889,0.3276,0.268632,NaN,NaN,NaN,0.82,0,0.18,0.82,0
25,0.7633,0.07,0.1667,400,651,1,1344,15,1,300,2000,0.796232666666667,0.0399793637995556,0.412422222222222,0.343671437777778,NaN,NaN,NaN,0.7633,0.07,0.1667,0.7633,0.07
26,0.8533,0,0.1467,400,694,1,1380,15,1,300,2000,0.803799333333334,0.0381229683328889,0.271822222222222,0.231945902222222,NaN,NaN,NaN,0.8533,0,0.1467,0.8533,0
27,0.1633,0.7233,0.1133,400,733,1,1433,15,1,300,2000,0.810466,0.0362405327773333,0.450111111111111,0.399113522222222,NaN,NaN,NaN,0.1633,0.7233,0.1133,0.1633,0.7233
28,0.9,0.0033,0.0967,400,673,1,1411,15,0.933333333333333,300,2000,0.817332666666666,0.0342730219328889,0.189988888888889,0.171616963333333,NaN,NaN,NaN,0.9,0.0033,0.0967,0.9,0.0033
