Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.0467,0.0033,0.95,400,123,1,526,15,0.933333333333333,300,2000,0.264021476190476,0.00194466356122222,0.997811111111111,0.0498905555555556,NaN,NaN,NaN,0.0467,0.0033,0.95,0.0467,0.0033
1,0.0467,0.0033,0.95,400,96,1,496,15,0.933333333333333,300,2000,0.269298333333333,0.00159646416388889,0.997811111111111,0.0498905555555556,NaN,NaN,NaN,0.0467,0.0033,0.95,0.0467,0.0033
2,0.05,0,0.95,400,108,1,508,15,1,300,2000,0.277631666666667,0.00242638083055555,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
3,0.0467,0.0033,0.95,400,114,1,514,15,0.933333333333333,300,2000,0.285598333333333,0.00349190849722222,0.997811111111111,0.0498905555555556,NaN,NaN,NaN,0.0467,0.0033,0.95,0.0467,0.0033
4,0.0467,0.0033,0.95,400,120,1,520,15,0.933333333333333,300,2000,0.294198333333334,0.00523137716388889,0.997811111111111,0.0498905555555556,NaN,NaN,NaN,0.0467,0.0033,0.95,0.0467,0.0033
5,0.0467,0.0033,0.95,400,102,1,502,15,0.933333333333333,300,2000,0.305065,0.008052222275,0.997811111111111,0.0498905555555556,NaN,NaN,NaN,0.0467,0.0033,0.95,0.0467,0.0033
6,0.0467,0.0133,0.94,400,138,1,538,15,0.933333333333333,300,2000,0.317365,0.012145793275,0.997644444444444,0.0598586666666667,NaN,NaN,NaN,0.0467,0.0133,0.94,0.0467,0.0133
7,0.05,0,0.95,400,96,1,496,15,1,300,2000,0.331031666666666,0.0175617721638889,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
8,0.1033,0.03,0.8667,400,245,1,688,15,1,300,2000,0.350598333333334,0.0277374584972222,0.988422222222222,0.131756682222222,NaN,NaN,NaN,0.1033,0.03,0.8667,0.1033,0.03
9,0.0967,0.06,0.8433,400,243,1,712,15,0.933333333333333,300,2000,0.371798666666667,0.0396174013315556,0.987055555555556,0.154671605555556,NaN,NaN,NaN,0.0967,0.06,0.8433,0.0967,0.06
10,0.1233,0.1733,0.7033,400,387,1,1000,15,0.866666666666667,300,2000,0.401232,0.0603614187093333,0.954744444444444,0.283272676666667,NaN,NaN,NaN,0.1233,0.1733,0.7033,0.1233,0.1733
11,0.2167,0.0833,0.7,400,381,1,1000,15,0.933333333333333,300,2000,0.409632333333333,0.0587843413878889,0.946111111111111,0.283833333333333,NaN,NaN,NaN,0.2167,0.0833,0.7,0.2167,0.0833
12,0.24,0.06,0.7,400,330,1,958,15,1,300,2000,0.415299,0.058239530499,0.9388,0.28164,NaN,NaN,NaN,0.24,0.06,0.7,0.24,0.06
13,0.2267,0.0833,0.69,400,343,1,982,15,0.933333333333333,300,2000,0.423665666666667,0.0574808661212222,0.941677777777778,0.291920111111111,NaN,NaN,NaN,0.2267,0.0833,0.69,0.2267,0.0833
14,0.2733,0.0567,0.67,400,371,1,1024,15,0.933333333333333,300,2000,0.430299333333333,0.0571896936662222,0.922077777777778,0.304285666666667,NaN,NaN,NaN,0.2733,0.0567,0.67,0.2733,0.0567
15,0.3567,0,0.6433,400,386,1,1048,15,1,300,2000,0.442066,0.057251548244,0.872788888888889,0.311323796666667,NaN,NaN,NaN,0.3567,0,0.6433,0.3567,0
16,0.3033,0.0867,0.61,400,431,1,1119,15,0.933333333333333,300,2000,0.452466,0.058074495444,0.900477777777778,0.351186333333333,NaN,NaN,NaN,0.3033,0.0867,0.61,0.3033,0.0867
17,0.3833,0.08,0.5367,400,545,1,1251,15,0.866666666666667,300,2000,0.469132666666667,0.0600131843328889,0.846655555555555,0.392255518888889,NaN,NaN,NaN,0.3833,0.08,0.5367,0.3833,0.08
18,0.4267,0.0667,0.5067,400,530,1,1368,15,0.933333333333333,300,2000,0.490432666666667,0.0650043693995556,0.813511111111111,0.401305031111111,NaN,NaN,NaN,0.4267,0.0667,0.5067,0.4267,0.0667
19,0.39,0.1033,0.5067,400,510,1,1312,15,0.933333333333333,300,2000,0.512733,0.0703650006776667,0.837222222222222,0.413001722222222,NaN,NaN,NaN,0.39,0.1033,0.5067,0.39,0.1033
20,0.3967,0.1033,0.5,400,515,1,1324,15,1,300,2000,0.536633,0.0793795999443333,0.831977777777778,0.415988888888889,NaN,NaN,NaN,0.3967,0.1033,0.5,0.3967,0.1033
21,0.21,0.3233,0.4667,400,694,1,1504,15,0.8,300,2000,0.552233,0.083639077011,0.851355555555556,0.454027917777778,NaN,NaN,NaN,0.21,0.3233,0.4667,0.21,0.3233
22,0.5633,0,0.4367,400,620,1,1433,15,1,300,2000,0.562599666666666,0.0818630516998889,0.682655555555556,0.384539874444445,NaN,NaN,NaN,0.5633,0,0.4367,0.5633,0
23,0.5133,0.0767,0.41,400,626,1,1499,15,1,300,2000,0.575633,0.0805656926110001,0.730611111111111,0.431060555555556,NaN,NaN,NaN,0.5133,0.0767,0.41,0.5133,0.0767
24,0.4667,0.1633,0.37,400,700,1,1583,15,1,300,2000,0.590899666666666,0.0799783472332222,0.755544444444444,0.475993,NaN,NaN,NaN,0.4667,0.1633,0.37,0.4667,0.1633
25,0.6433,0,0.3567,400,695,1,1607,15,1,300,2000,0.607733,0.0794130640110001,0.586122222222222,0.377052425555555,NaN,NaN,NaN,0.6433,0,0.3567,0.6433,0
26,0.66,0,0.34,400,684,1,1600,15,1,300,2000,0.625266333333334,0.0795379823665556,0.5644,0.372504,NaN,NaN,NaN,0.66,0,0.34,0.66,0
27,0.58,0.0833,0.3367,400,659,1,1642,15,0.933333333333333,300,2000,0.641599666666666,0.0799391043665556,0.656655555555556,0.43555963,NaN,NaN,NaN,0.58,0.0833,0.3367,0.58,0.0833
28,0.6933,0,0.3067,400,698,1,1666,15,1,300,2000,0.654499666666666,0.0797076696332222,0.519288888888889,0.360022986666667,NaN,NaN,NaN,0.6933,0,0.3067,0.6933,0
29,0.5767,0.1333,0.29,400,712,1,1696,15,0.866666666666667,300,2000,0.667799666666667,0.0764900818332222,0.649677777777778,0.461271222222222,NaN,NaN,NaN,0.5767,0.1333,0.29,0.5767,0.1333
30,0.47,0.26,0.27,400,743,1,1750,15,0.866666666666667,300,2000,0.676599666666667,0.0734277943665556,0.7115,0.519395,NaN,NaN,NaN,0.47,0.26,0.27,0.47,0.26
31,0.6833,0.0767,0.24,400,761,1,1774,15,0.933333333333333,300,2000,0.692799666666667,0.0712927651665556,0.527177777777778,0.400655111111111,NaN,NaN,NaN,0.6833,0.0767,0.24,0.6833,0.0767
32,0.7067,0.06,0.2333,400,761,1,1786,15,1,300,2000,0.707833,0.069065927411,0.497022222222222,0.381066937777778,NaN,NaN,NaN,0.7067,0.06,0.2333,0.7067,0.06
33,0.62,0.1733,0.2067,400,811,1,1848,15,0.866666666666667,300,2000,0.720433,0.0667669624776667,0.585555555555556,0.464521222222223,NaN,NaN,NaN,0.62,0.1733,0.2067,0.62,0.1733
34,0.6833,0.1133,0.2033,400,791,1,1847,15,0.933333333333333,300,2000,0.735333,0.064603362411,0.520211111111111,0.414452192222222,NaN,NaN,NaN,0.6833,0.1133,0.2033,0.6833,0.1133
35,0.7133,0.12,0.1667,400,834,1,1907,15,0.866666666666667,300,2000,0.745432999999999,0.0619999791443334,0.476755555555555,0.397280404444444,NaN,NaN,NaN,0.7133,0.12,0.1667,0.7133,0.12
36,0.8567,0.0033,0.14,400,846,1,1967,15,0.933333333333333,300,2000,0.754799666666667,0.0588186731665556,0.266111111111111,0.228855555555555,NaN,NaN,NaN,0.8567,0.0033,0.14,0.8567,0.0033
37,0.89,0,0.11,400,853,1,2014,15,1,300,2000,0.765766333333334,0.0556816593665556,0.2079,0.185031,NaN,NaN,NaN,0.89,0,0.11,0.89,0
38,0.2833,0.6233,0.0933,400,1113,1,2380,15,0.733333333333333,300,2000,0.777533,0.052526857211,0.531177777777778,0.481618891111111,NaN,NaN,NaN,0.2833,0.6233,0.0933,0.2833,0.6233
39,0.9133,0,0.0867,400,900,1,2074,15,1,300,2000,0.789133,0.0501065182776667,0.165822222222222,0.151445435555555,NaN,NaN,NaN,0.9133,0,0.0867,0.9133,0
40,0.78,0.1333,0.0867,400,896,1,2068,15,0.933333333333333,300,2000,0.796733,0.0471241233443333,0.373822222222222,0.341411835555555,NaN,NaN,NaN,0.78,0.1333,0.0867,0.78,0.1333
41,0.9433,0,0.0567,400,932,1,2140,15,1,300,2000,0.804366333333333,0.0454955917665556,0.110122222222222,0.103878292222222,NaN,NaN,NaN,0.9433,0,0.0567,0.9433,0
42,0.9467,0,0.0533,400,920,1,2110,15,1,300,2000,0.809833,0.0433397287443334,0.103822222222222,0.0982884977777776,NaN,NaN,NaN,0.9467,0,0.0533,0.9467,0
43,0.4667,0.4833,0.05,400,1198,1,2588,15,0.933333333333333,300,2000,0.814966333333333,0.0415407854998889,0.548611111111111,0.521180555555555,NaN,NaN,NaN,0.4667,0.4833,0.05,0.4667,0.4833
44,0.2967,0.6567,0.0467,400,1303,1,2656,15,0.866666666666667,300,2000,0.819366333333333,0.0394059350998889,0.480777777777778,0.458325455555556,NaN,NaN,NaN,0.2967,0.6567,0.0467,0.2967,0.6567
45,0.9533,0.01,0.0367,400,1415,1,2873,15,1,300,2000,0.825266333333333,0.0377254490332222,0.0910555555555556,0.0877138166666667,NaN,NaN,NaN,0.9533,0.01,0.0367,0.9533,0.01
46,0.8933,0.07,0.0367,400,922,1,2146,15,1,300,2000,0.830366333333333,0.0358250757665556,0.197055555555556,0.189823616666667,NaN,NaN,NaN,0.8933,0.07,0.0367,0.8933,0.07
47,0.9633,0,0.0367,400,928,1,2152,15,1,300,2000,0.834433000000001,0.0344710384776667,0.0719888888888888,0.0693468966666666,NaN,NaN,NaN,0.9633,0,0.0367,0.9633,0
48,0.9667,0.0033,0.03,400,921,1,2158,15,0.933333333333333,300,2000,0.839499666666667,0.0334954596332222,0.0655444444444445,0.0635781111111112,NaN,NaN,NaN,0.9667,0.0033,0.03,0.9667,0.0033
49,0.9667,0.0067,0.0267,400,1022,1,2308,15,1,300,2000,0.842099666666667,0.0326878213665556,0.0655111111111112,0.0637619644444445,NaN,NaN,NaN,0.9667,0.0067,0.0267,0.9667,0.0067
