Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.05,0,0.95,200,35,1,235,5,1,100,2000,0.460831277777778,0.0400777019613611,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
1,0.05,0,0.95,200,26,1,226,5,1,100,2000,0.462288,0.038841113856,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
2,0.06,0.02,0.92,200,35,1,236,5,0.8,100,2000,0.476389,0.039564169579,0.996,0.07968,NaN,NaN,NaN,0.06,0.02,0.92,0.06,0.02
3,0.08,0,0.92,200,23,1,224,5,1,100,2000,0.479389,0.040147395579,0.9936,0.079488,NaN,NaN,NaN,0.08,0,0.92,0.08,0
4,0.1,0.01,0.89,200,32,1,235,5,1,100,2000,0.48889,0.0422426569,0.9899,0.108889,NaN,NaN,NaN,0.1,0.01,0.89,0.1,0.01
5,0.12,0,0.88,200,31,1,235,5,1,100,2000,0.490991,0.041359467019,0.9856,0.118272,NaN,NaN,NaN,0.12,0,0.88,0.12,0
6,0.11,0.01,0.88,200,34,1,238,5,1,100,2000,0.497495,0.039895874475,0.9878,0.118536,NaN,NaN,NaN,0.11,0.01,0.88,0.11,0.01
7,0.11,0.01,0.88,200,37,1,242,5,1,100,2000,0.504195,0.040436891475,0.9878,0.118536,NaN,NaN,NaN,0.11,0.01,0.88,0.11,0.01
8,0.15,0,0.85,200,40,1,245,5,1,100,2000,0.510295,0.042200722475,0.9775,0.146625,NaN,NaN,NaN,0.15,0,0.85,0.15,0
9,0.11,0.03,0.86,200,45,1,249,5,1,100,2000,0.516195,0.042126611475,0.987,0.13818,NaN,NaN,NaN,0.11,0.03,0.86,0.11,0.03
10,0.06,0.05,0.89,200,52,1,252,5,1,100,2000,0.519795,0.041457767475,0.9939,0.109329,NaN,NaN,NaN,0.06,0.05,0.89,0.06,0.05
11,0.1,0.01,0.89,200,53,1,256,5,1,100,2000,0.524995,0.042057899475,0.9899,0.108889,NaN,NaN,NaN,0.1,0.01,0.89,0.1,0.01
12,0.08,0.04,0.88,200,46,1,247,5,1,100,2000,0.530495,0.043620804475,0.992,0.11904,NaN,NaN,NaN,0.08,0.04,0.88,0.08,0.04
13,0.06,0.13,0.81,200,87,1,291,5,0.8,100,2000,0.536595,0.045637775475,0.9795,0.186105,NaN,NaN,NaN,0.06,0.13,0.81,0.06,0.13
14,0.08,0.09,0.83,200,56,1,260,5,0.8,100,2000,0.544995,0.045648099475,0.9855,0.167535,NaN,NaN,NaN,0.08,0.09,0.83,0.08,0.09
15,0.22,0,0.78,200,85,1,292,5,1,100,2000,0.549595,0.045471905475,0.9516,0.209352,NaN,NaN,NaN,0.22,0,0.78,0.22,0
