Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.0458,0.0033,0.951,400,70,1,477,15,0.933333333333333,306,2000,0.396889820261438,0.00418910254563763,0.997896108334401,0.0488969093083857,NaN,NaN,NaN,0.0458,0.0033,0.951,0.0458,0.0033
1,0.0458,0.0033,0.951,400,81,1,481,15,0.933333333333333,306,2000,0.401930065359477,0.00409403648169508,0.997896108334401,0.0488969093083857,NaN,NaN,NaN,0.0458,0.0033,0.951,0.0458,0.0033
2,0.0458,0.0033,0.951,400,76,1,476,15,0.933333333333333,306,2000,0.411309150326797,0.0056766425306506,0.997896108334401,0.0488969093083857,NaN,NaN,NaN,0.0458,0.0033,0.951,0.0458,0.0033
3,0.049,0,0.951,400,81,1,481,15,1,306,2000,0.422518300653595,0.00850657012260242,0.997597078046905,0.0488822568242984,NaN,NaN,NaN,0.049,0,0.951,0.049,0
4,0.0654,0.0033,0.9314,400,96,1,501,15,0.933333333333333,306,2000,0.436145751633987,0.0148814227433893,0.995717459096929,0.0683062176940493,NaN,NaN,NaN,0.0654,0.0033,0.9314,0.0654,0.0033
5,0.085,0.0131,0.902,400,113,1,521,15,0.933333333333333,306,2000,0.450949673202615,0.0210005852449913,0.992609680037592,0.097275748643684,NaN,NaN,NaN,0.085,0.0131,0.902,0.085,0.0131
6,0.1503,0.0065,0.8431,400,158,1,601,15,0.933333333333333,306,2000,0.473237254901961,0.0309679354094579,0.977359135375283,0.153347648340382,NaN,NaN,NaN,0.1503,0.0065,0.8431,0.1503,0.0065
7,0.2026,0.0098,0.7876,400,197,1,670,15,0.933333333333333,306,2000,0.490590196078431,0.034164138792772,0.958851296509889,0.2036600153787,NaN,NaN,NaN,0.2026,0.0098,0.7876,0.2026,0.0098
8,0.1765,0.0458,0.7778,400,211,1,676,15,0.933333333333333,306,2000,0.509838562091503,0.0362398009312658,0.966764919475415,0.214815165107437,NaN,NaN,NaN,0.1765,0.0458,0.7778,0.1765,0.0458
9,0.2124,0.0556,0.732,400,262,1,733,15,0.866666666666667,306,2000,0.528760130718954,0.0397553942927934,0.951792045794353,0.255080268272887,NaN,NaN,NaN,0.2124,0.0556,0.732,0.2124,0.0556
10,0.219,0.0065,0.7745,400,235,1,676,15,1,306,2000,0.544511764705882,0.0393109284890427,0.952016318509975,0.214679679823999,NaN,NaN,NaN,0.219,0.0065,0.7745,0.219,0.0065
11,0.3007,0.0392,0.6601,400,331,1,803,15,0.933333333333333,306,2000,0.56885816993464,0.0459984578580888,0.908069545901149,0.308652838651801,NaN,NaN,NaN,0.3007,0.0392,0.6601,0.3007,0.0392
12,0.3889,0.0359,0.5752,400,416,1,898,15,1,306,2000,0.593727450980392,0.0511786716647444,0.847473194070657,0.360006612841215,NaN,NaN,NaN,0.3889,0.0359,0.5752,0.3889,0.0359
13,0.232,0.2484,0.5196,400,479,1,995,15,1,306,2000,0.626309150326797,0.0543353026613696,0.884478192148319,0.424903323508052,NaN,NaN,NaN,0.232,0.2484,0.5196,0.232,0.2484
14,0.5425,0.0033,0.4542,400,509,1,1049,15,0.933333333333333,306,2000,0.653041176470588,0.0554920030757402,0.705700798838054,0.38517149600581,NaN,NaN,NaN,0.5425,0.0033,0.4542,0.5425,0.0033
15,0.183,0.3791,0.4379,400,526,1,1083,15,0.933333333333333,306,2000,0.679021568627451,0.053322693194925,0.822803195352215,0.46249767610748,NaN,NaN,NaN,0.183,0.3791,0.4379,0.183,0.3791
16,0.6765,0.0065,0.317,400,575,1,1217,15,0.866666666666667,306,2000,0.707093464052288,0.0501648169507455,0.542344824640096,0.370421515229186,NaN,NaN,NaN,0.6765,0.0065,0.317,0.6765,0.0065
17,0.7288,0.0033,0.268,400,598,1,1270,15,0.933333333333333,306,2000,0.732845098039215,0.0462650134563629,0.468900850100389,0.343235422273485,NaN,NaN,NaN,0.7288,0.0033,0.268,0.7288,0.0033
18,0.6373,0.1405,0.2222,400,631,1,1317,15,0.933333333333333,306,2000,0.764838562091503,0.0421242780554488,0.574159511299073,0.446581267888419,NaN,NaN,NaN,0.6373,0.1405,0.2222,0.6373,0.1405
19,0.4869,0.3431,0.1699,400,658,1,1386,15,0.866666666666667,306,2000,0.791603267973856,0.038201008159255,0.645157845273186,0.535545527361272,NaN,NaN,NaN,0.4869,0.3431,0.1699,0.4869,0.3431
