Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.0467,0.0033,0.95,400,126,1,533,15,0.933333333333333,300,2000,0.452510651455027,0.0242663183618452,0.997811111111111,0.0498905555555556,NaN,NaN,NaN,0.0467,0.0033,0.95,0.0467,0.0033
1,0.0567,0,0.9433,400,93,1,495,15,1,300,2000,0.465463,0.0261091585976667,0.996788888888889,0.05651793,NaN,NaN,NaN,0.0567,0,0.9433,0.0567,0
2,0.0933,0.0033,0.9033,400,116,1,525,15,1,300,2000,0.484730333333334,0.0311653203132222,0.991277777777778,0.0958565611111111,NaN,NaN,NaN,0.0933,0.0033,0.9033,0.0933,0.0033
3,0.1233,0.01,0.8667,400,140,1,558,15,1,300,2000,0.498164,0.0339298521706667,0.984688888888889,0.131259028888889,NaN,NaN,NaN,0.1233,0.01,0.8667,0.1233,0.01
4,0.17,0.0067,0.8233,400,143,1,576,15,0.933333333333333,300,2000,0.512897333333333,0.0378677751928889,0.971055555555556,0.171585516666667,NaN,NaN,NaN,0.17,0.0067,0.8233,0.17,0.0067
5,0.1567,0.0167,0.8267,400,180,1,615,15,0.866666666666667,300,2000,0.527297666666666,0.0403942671612222,0.975177777777778,0.168998308888889,NaN,NaN,NaN,0.1567,0.0167,0.8267,0.1567,0.0167
6,0.26,0,0.74,400,218,1,691,15,1,300,2000,0.544198333333333,0.0445485038305555,0.9324,0.242424,NaN,NaN,NaN,0.26,0,0.74,0.26,0
7,0.2567,0.03,0.7133,400,265,1,727,15,0.933333333333333,300,2000,0.560265,0.0472386596083333,0.933222222222222,0.267554811111111,NaN,NaN,NaN,0.2567,0.03,0.7133,0.2567,0.03
8,0.31,0,0.69,400,291,1,767,15,1,300,2000,0.578432,0.050104684576,0.9039,0.280209,NaN,NaN,NaN,0.31,0,0.69,0.31,0
9,0.2767,0.0733,0.65,400,333,1,804,15,1,300,2000,0.596832,0.0518648403093333,0.918077777777778,0.321327222222222,NaN,NaN,NaN,0.2767,0.0733,0.65,0.2767,0.0733
10,0.3333,0.0533,0.6133,400,386,1,862,15,1,300,2000,0.607999,0.050345725899,0.886044444444444,0.342633386666667,NaN,NaN,NaN,0.3333,0.0533,0.6133,0.3333,0.0533
11,0.2967,0.1167,0.5867,400,423,1,905,15,1,300,2000,0.626398666666667,0.0521521535982222,0.898377777777778,0.371299535555556,NaN,NaN,NaN,0.2967,0.1167,0.5867,0.2967,0.1167
12,0.4,0.0633,0.5367,400,426,1,916,15,0.866666666666667,300,2000,0.648698666666667,0.0541749363982222,0.835988888888889,0.387313652222222,NaN,NaN,NaN,0.4,0.0633,0.5367,0.4,0.0633
13,0.4067,0.1333,0.46,400,503,1,1043,15,0.933333333333333,300,2000,0.664932333333334,0.0556994486545556,0.816844444444444,0.441096,NaN,NaN,NaN,0.4067,0.1333,0.46,0.4067,0.1333
14,0.5967,0.0067,0.3967,400,524,1,1082,15,1,300,2000,0.682865666666667,0.0558205578545556,0.643944444444444,0.388491683333333,NaN,NaN,NaN,0.5967,0.0067,0.3967,0.5967,0.0067
15,0.4267,0.2,0.3733,400,552,1,1118,15,0.933333333333333,300,2000,0.697599,0.0567299784323334,0.777955555555556,0.487544746666667,NaN,NaN,NaN,0.4267,0.2,0.3733,0.4267,0.2
16,0.5033,0.1233,0.3733,400,530,1,1094,15,0.933333333333333,300,2000,0.712999333333333,0.0562481272662223,0.731444444444444,0.458396233333333,NaN,NaN,NaN,0.5033,0.1233,0.3733,0.5033,0.1233
17,0.5767,0.0733,0.35,400,544,1,1135,15,0.933333333333333,300,2000,0.722832666666667,0.0566020792662222,0.662077777777778,0.430350555555556,NaN,NaN,NaN,0.5767,0.0733,0.35,0.5767,0.0733
18,0.6867,0,0.3133,400,586,1,1185,15,1,300,2000,0.732166,0.0556546250440001,0.528488888888889,0.36291332,NaN,NaN,NaN,0.6867,0,0.3133,0.6867,0
19,0.6667,0.0167,0.3167,400,564,1,1166,15,1,300,2000,0.741365999999999,0.0533373039773334,0.555277777777778,0.379421305555556,NaN,NaN,NaN,0.6667,0.0167,0.3167,0.6667,0.0167
20,0.4833,0.1367,0.38,400,532,1,1109,15,1,300,2000,0.742666,0.049385989044,0.747711111111111,0.463580888888889,NaN,NaN,NaN,0.4833,0.1367,0.38,0.4833,0.1367
21,0.3867,0.3,0.3133,400,628,1,1220,15,0.933333333333333,300,2000,0.750266,0.0489678925106667,0.760488888888889,0.52222772,NaN,NaN,NaN,0.3867,0.3,0.3133,0.3867,0.3
22,0.69,0,0.31,400,571,1,1181,15,1,300,2000,0.760532666666667,0.0471190795328889,0.5239,0.361491,NaN,NaN,NaN,0.69,0,0.31,0.69,0
23,0.4,0.3533,0.2467,400,655,1,1275,15,0.933333333333333,300,2000,0.770832666666667,0.0463950765995556,0.715155555555556,0.53872668,NaN,NaN,NaN,0.4,0.3533,0.2467,0.4,0.3533
24,0.6733,0.08,0.2467,400,636,1,1273,15,0.866666666666667,300,2000,0.779799333333334,0.0441812029995556,0.540222222222222,0.4069494,NaN,NaN,NaN,0.6733,0.08,0.2467,0.6733,0.08
25,0.7433,0.07,0.1867,400,674,1,1351,15,1,300,2000,0.790132666666667,0.0426439723328889,0.442555555555556,0.359930433333334,NaN,NaN,NaN,0.7433,0.07,0.1867,0.7433,0.07
26,0.8233,0,0.1767,400,681,1,1334,15,1,300,2000,0.800632666666667,0.0401233696662222,0.322122222222222,0.265203225555555,NaN,NaN,NaN,0.8233,0,0.1767,0.8233,0
27,0.7733,0.0633,0.1633,400,688,1,1363,15,1,300,2000,0.808599333333334,0.0383970813995555,0.397944444444445,0.332960116666667,NaN,NaN,NaN,0.7733,0.0633,0.1633,0.7733,0.0633
28,0.76,0.1067,0.1333,400,728,1,1406,15,1,300,2000,0.816865999999999,0.0364222213106667,0.411022222222222,0.35623296,NaN,NaN,NaN,0.76,0.1067,0.1333,0.76,0.1067
29,0.8933,0.0033,0.1033,400,727,1,1426,15,0.933333333333333,300,2000,0.822965999999999,0.0344461327773333,0.201944444444444,0.181083583333333,NaN,NaN,NaN,0.8933,0.0033,0.1033,0.8933,0.0033
