Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.049,0.001,0.95,1000,412,1,1436,50,0.98,1000,2000,0.264192385714285,0.00203861271972106,0.997598,0.0498799,NaN,NaN,NaN,0.049,0.001,0.95,0.049,0.001
1,0.047,0.003,0.95,1000,346,1,1346,50,0.94,1000,2000,0.2692077,0.00167909403071,0.997782,0.0498891,NaN,NaN,NaN,0.047,0.003,0.95,0.047,0.003
2,0.047,0.003,0.95,1000,352,1,1352,50,0.94,1000,2000,0.2773978,0.00235810633516,0.997782,0.0498891,NaN,NaN,NaN,0.047,0.003,0.95,0.047,0.003
3,0.046,0.003,0.951,1000,359,0.98,1359,50,0.92,1000,2000,0.2855178,0.00341305566315999,0.997875,0.048895875,NaN,NaN,NaN,0.046,0.003,0.951,0.046,0.003
4,0.044,0.006,0.95,1000,366,1,1366,50,0.88,1000,2000,0.2936978,0.00494190805515999,0.998028,0.0499014,NaN,NaN,NaN,0.044,0.006,0.95,0.044,0.006
5,0.051,0.004,0.945,1000,382,1,1388,50,0.92,1000,2000,0.3051278,0.00787731744715998,0.997383,0.0548560650000001,NaN,NaN,NaN,0.051,0.004,0.945,0.051,0.004
6,0.059,0.002,0.939,1000,430,1,1448,50,0.96,1000,2000,0.3162278,0.01142189028716,0.996515,0.0607874150000001,NaN,NaN,NaN,0.059,0.002,0.939,0.059,0.002
7,0.085,0.004,0.911,1000,572,1,1648,50,0.92,1000,2000,0.3297778,0.01681752440716,0.992759,0.088355551,NaN,NaN,NaN,0.085,0.004,0.911,0.085,0.004
8,0.102,0.009,0.889,1000,628,1,1731,50,0.94,1000,2000,0.3494978,0.0262573535751599,0.989515,0.109836165,NaN,NaN,NaN,0.102,0.009,0.889,0.102,0.009
9,0.184,0.004,0.812,1000,932,1,2194,50,0.98,1000,2000,0.3692779,0.03748607836159,0.966128,0.181632064,NaN,NaN,NaN,0.184,0.004,0.812,0.184,0.004
10,0.233,0.046,0.721,1000,1327,1,2796,50,0.94,1000,2000,0.398998,0.057394617796,0.943595,0.263263005,NaN,NaN,NaN,0.233,0.046,0.721,0.233,0.046
11,0.271,0.026,0.703,1000,1323,1,2803,50,0.96,1000,2000,0.406478100000001,0.05730390003039,0.925883,0.274987251,NaN,NaN,NaN,0.271,0.026,0.703,0.271,0.026
12,0.277,0.03,0.693,1000,1382,1,2881,50,0.98,1000,2000,0.4132981,0.0569775903463899,0.922371,0.283167897,NaN,NaN,NaN,0.277,0.03,0.693,0.277,0.03
13,0.236,0.073,0.691,1000,1455,1,2947,50,0.96,1000,2000,0.4197881,0.05659785890839,0.938975,0.290143275,NaN,NaN,NaN,0.236,0.073,0.691,0.236,0.073
14,0.228,0.083,0.689,1000,1433,1,2958,50,0.9,1000,2000,0.4279881,0.05663013406839,0.941127,0.292690497,NaN,NaN,NaN,0.228,0.083,0.689,0.228,0.083
15,0.271,0.093,0.636,1000,1679,1,3286,50,0.88,1000,2000,0.4362881,0.0572011016083899,0.91791,0.33411924,NaN,NaN,NaN,0.271,0.093,0.636,0.271,0.093
16,0.314,0.094,0.592,1000,1958,1,3582,50,0.92,1000,2000,0.4494383,0.0588602083231099,0.892568,0.364167744,NaN,NaN,NaN,0.314,0.094,0.592,0.314,0.094
17,0.326,0.106,0.568,1000,1951,1,3677,50,0.94,1000,2000,0.4638986,0.0611808507780399,0.882488,0.381234816,NaN,NaN,NaN,0.326,0.106,0.568,0.326,0.106
18,0.409,0.063,0.528,1000,2065,1,3883,50,0.88,1000,2000,0.4829088,0.0661294127625599,0.82875,0.39117,NaN,NaN,NaN,0.409,0.063,0.528,0.409,0.063
19,0.34,0.136,0.524,1000,1982,1,3901,50,0.9,1000,2000,0.5047788,0.0735647589505599,0.865904,0.412170304,NaN,NaN,NaN,0.34,0.136,0.524,0.34,0.136
20,0.388,0.093,0.519,1000,1914,1,3954,50,0.92,1000,2000,0.5231988,0.08030829555856,0.840807,0.404428167,NaN,NaN,NaN,0.388,0.093,0.519,0.388,0.093
21,0.363,0.134,0.503,1000,1973,1,4044,50,0.88,1000,2000,0.535848800000001,0.08399797341856,0.850275,0.422586675,NaN,NaN,NaN,0.363,0.134,0.503,0.363,0.134
22,0.396,0.116,0.488,1000,2054,1,4153,50,0.96,1000,2000,0.5445688,0.08374607594656,0.829728,0.424820736,NaN,NaN,NaN,0.396,0.116,0.488,0.396,0.116
23,0.284,0.26,0.456,1000,2208,1,4374,50,0.88,1000,2000,0.553558799999999,0.0831084068225599,0.851744,0.463348736,NaN,NaN,NaN,0.284,0.26,0.456,0.284,0.26
24,0.538,0.039,0.423,1000,2253,1,4529,50,0.98,1000,2000,0.5650188,0.08271499952656,0.709035,0.409113195,NaN,NaN,NaN,0.538,0.039,0.423,0.538,0.039
25,0.561,0.018,0.421,1000,2254,1,4513,50,0.98,1000,2000,0.577568799999999,0.0833075351465601,0.684955,0.396588945,NaN,NaN,NaN,0.561,0.018,0.421,0.561,0.018
26,0.276,0.316,0.408,1000,2326,1,4655,50,0.92,1000,2000,0.5936288,0.08606671369056,0.823968,0.487789056,NaN,NaN,NaN,0.276,0.316,0.408,0.276,0.316
27,0.413,0.2,0.387,1000,2376,1,4752,50,0.84,1000,2000,0.605538900000001,0.0871274204767901,0.789431,0.483921203,NaN,NaN,NaN,0.413,0.2,0.387,0.413,0.2
28,0.439,0.181,0.38,1000,2385,1,4818,50,0.86,1000,2000,0.617208899999999,0.08726018765079,0.774518,0.48020116,NaN,NaN,NaN,0.439,0.181,0.38,0.439,0.181
29,0.586,0.061,0.353,1000,2505,1,4930,50,0.96,1000,2000,0.626118999999999,0.086474925739,0.652883,0.422415301,NaN,NaN,NaN,0.586,0.061,0.353,0.586,0.061
30,0.579,0.082,0.339,1000,2520,1,5009,50,0.9,1000,2000,0.632849,0.0847319170989999,0.658035,0.434961135,NaN,NaN,NaN,0.579,0.082,0.339,0.579,0.082
31,0.673,0.002,0.325,1000,2550,1,5086,50,0.96,1000,2000,0.642749,0.0833824768989998,0.547067,0.369270225,NaN,NaN,NaN,0.673,0.002,0.325,0.673,0.002
32,0.379,0.309,0.312,1000,2670,1,5226,50,0.84,1000,2000,0.653769,0.0827636525390001,0.760878,0.523484064,NaN,NaN,NaN,0.379,0.309,0.312,0.379,0.309
33,0.698,0.008,0.294,1000,2594,1,5268,50,0.98,1000,2000,0.664929100000001,0.0825079118831899,0.512732,0.361988792,NaN,NaN,NaN,0.698,0.008,0.294,0.698,0.008
34,0.26,0.458,0.282,1000,2731,1,5412,50,0.9,1000,2000,0.675409099999999,0.08161606354719,0.722636,0.518852648,NaN,NaN,NaN,0.26,0.458,0.282,0.26,0.458
35,0.384,0.352,0.264,1000,2798,1,5544,50,0.96,1000,2000,0.684009200000001,0.07992888223536,0.72864,0.53627904,NaN,NaN,NaN,0.384,0.352,0.264,0.384,0.352
36,0.242,0.512,0.246,1000,2869,1,5688,50,0.9,1000,2000,0.6916692,0.07825891769136,0.679292,0.512186168,NaN,NaN,NaN,0.242,0.512,0.246,0.242,0.512
37,0.641,0.121,0.238,1000,2795,1,5651,50,1,1000,2000,0.7005892,0.07641415676336,0.574478,0.437752236,NaN,NaN,NaN,0.641,0.121,0.238,0.641,0.121
38,0.777,0.002,0.221,1000,2836,1,5711,50,0.96,1000,2000,0.709469199999999,0.0750542141713599,0.396267,0.308691993,NaN,NaN,NaN,0.777,0.002,0.221,0.777,0.002
39,0.683,0.099,0.218,1000,2820,1,5710,50,0.98,1000,2000,0.718089200000001,0.07375418476336,0.52371,0.40954122,NaN,NaN,NaN,0.683,0.099,0.218,0.683,0.099
40,0.625,0.173,0.202,1000,2867,1,5844,50,0.96,1000,2000,0.7224292,0.07240480290736,0.579446,0.462397908,NaN,NaN,NaN,0.625,0.173,0.202,0.625,0.173
41,0.802,0.001,0.197,1000,2892,1,5873,50,0.98,1000,2000,0.7288192,0.0713531036313599,0.356795,0.286506385,NaN,NaN,NaN,0.802,0.001,0.197,0.802,0.001
42,0.709,0.111,0.18,1000,3002,1,6014,50,0.96,1000,2000,0.735669199999999,0.0695936280913601,0.484998,0.39769836,NaN,NaN,NaN,0.709,0.111,0.18,0.709,0.111
43,0.772,0.042,0.186,1000,2969,1,5944,50,0.98,1000,2000,0.7421492,0.0677898608593599,0.402252,0.327433128,NaN,NaN,NaN,0.772,0.042,0.186,0.772,0.042
44,0.807,0.034,0.159,1000,3041,1,6072,50,0.98,1000,2000,0.7487193,0.0658739457375099,0.347595,0.292327395,NaN,NaN,NaN,0.807,0.034,0.159,0.807,0.034
45,0.798,0.038,0.164,1000,3058,1,6083,50,0.94,1000,2000,0.755009499999999,0.06366541085975,0.361752,0.302424672,NaN,NaN,NaN,0.798,0.038,0.164,0.798,0.038
46,0.335,0.522,0.143,1000,3184,1,6328,50,0.9,1000,2000,0.762229600000001,0.0614204688438399,0.615291,0.527304387,NaN,NaN,NaN,0.335,0.522,0.143,0.335,0.522
47,0.207,0.659,0.134,1000,3253,1,6376,50,0.98,1000,2000,0.7688796,0.05932482266384,0.52287,0.45280542,NaN,NaN,NaN,0.207,0.659,0.134,0.207,0.659
48,0.845,0.028,0.127,1000,3102,1,6292,50,0.92,1000,2000,0.7745896,0.05714325553184,0.285191,0.248971743,NaN,NaN,NaN,0.845,0.028,0.127,0.845,0.028
49,0.878,0.003,0.119,1000,3100,1,6328,50,0.94,1000,2000,0.780549600000001,0.0551926138998399,0.229107,0.201843267,NaN,NaN,NaN,0.878,0.003,0.119,0.878,0.003
50,0.886,0.002,0.112,1000,3178,1,6388,50,0.96,1000,2000,0.781289700000001,0.05434807264391,0.215,0.19092,NaN,NaN,NaN,0.886,0.002,0.112,0.886,0.002
51,0.903,0.001,0.096,1000,3195,1,6472,50,0.98,1000,2000,0.786709699999999,0.0528259998959099,0.18459,0.16686936,NaN,NaN,NaN,0.903,0.001,0.096,0.903,0.001
