Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.05,0,0.95,200,22,1,222,5,1,100,2000,0.435293900488401,0.0230998661482023,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
1,0.05,0,0.95,200,32,1,232,5,1,100,2000,0.443398,0.022205823396,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
2,0.07,0.01,0.92,200,43,1,243,5,0.8,100,2000,0.456597,0.024689109291,0.995,0.0796,NaN,NaN,NaN,0.07,0.01,0.92,0.07,0.01
3,0.06,0.03,0.91,200,36,1,239,5,1,100,2000,0.466897,0.025258141091,0.9955,0.089595,NaN,NaN,NaN,0.06,0.03,0.91,0.06,0.03
4,0.1,0.03,0.87,200,65,1,269,5,0.8,100,2000,0.481698,0.028349066596,0.9891,0.128583,NaN,NaN,NaN,0.1,0.03,0.87,0.1,0.03
5,0.09,0.05,0.86,200,50,1,254,5,0.6,100,2000,0.490398,0.028552451396,0.9894,0.138516,NaN,NaN,NaN,0.09,0.05,0.86,0.09,0.05
6,0.15,0,0.85,200,54,1,257,5,1,100,2000,0.505899,0.030309171699,0.9775,0.146625,NaN,NaN,NaN,0.15,0,0.85,0.15,0
7,0.17,0,0.83,200,52,1,256,5,1,100,2000,0.519199,0.031951028299,0.9711,0.165087,NaN,NaN,NaN,0.17,0,0.83,0.17,0
8,0.2,0.02,0.78,200,78,1,288,5,1,100,2000,0.5379,0.03536716,0.9596,0.211112,NaN,NaN,NaN,0.2,0.02,0.78,0.2,0.02
9,0.17,0.13,0.7,200,104,1,321,5,1,100,2000,0.5609,0.03694136,0.9542,0.28626,NaN,NaN,NaN,0.17,0.13,0.7,0.17,0.13
10,0.24,0.11,0.65,200,104,1,322,5,0.8,100,2000,0.5891,0.040237,0.9303,0.325605,NaN,NaN,NaN,0.24,0.11,0.65,0.24,0.11
11,0.21,0.13,0.66,200,118,1,341,5,1,100,2000,0.6183,0.04429476,0.939,0.31926,NaN,NaN,NaN,0.21,0.13,0.66,0.21,0.13
12,0.29,0.22,0.49,200,162,1,399,5,1,100,2000,0.6508,0.04594251,0.8675,0.442425,NaN,NaN,NaN,0.29,0.22,0.49,0.29,0.22
13,0.74,0,0.26,200,235,1,505,5,1,100,2000,0.685,0.04491099,0.4524,0.334776,NaN,NaN,NaN,0.74,0,0.26,0.74,0
14,0.19,0.64,0.17,200,283,1,556,5,1,100,2000,0.737,0.04259939,0.5543,0.460069,NaN,NaN,NaN,0.19,0.64,0.17,0.19,0.64
15,0.71,0.23,0.06,200,285,1,573,5,1,100,2000,0.7671,0.035959,0.443,0.41642,NaN,NaN,NaN,0.71,0.23,0.06,0.71,0.23
16,1,0,0,200,287,1,596,5,1,100,2000,0.7928,0.03379571,0,0,NaN,NaN,NaN,1,0,0,1,0
17,1,0,0,200,276,1,588,5,1,100,2000,0.8172,0.02973059,0,0,NaN,NaN,NaN,1,0,0,1,0
18,1,0,0,200,269,1,591,5,1,100,2000,0.8337,0.02891104,0,0,NaN,NaN,NaN,1,0,0,1,0
19,1,0,0,200,262,1,591,5,1,100,2000,0.8365,0.02766104,0,0,NaN,NaN,NaN,1,0,0,1,0
20,1,0,0,200,246,1,588,5,1,100,2000,0.8394,0.02724651,0,0,NaN,NaN,NaN,1,0,0,1,0
21,0.04,0.95,0.01,200,272,1,596,5,0.8,100,2000,0.8417,0.02662944,0.0959,0.094941,NaN,NaN,NaN,0.04,0.95,0.01,0.04,0.95
22,0.99,0,0.01,200,269,1,600,5,1,100,2000,0.8356,0.02794075,0.0199,0.019701,NaN,NaN,NaN,0.99,0,0.01,0.99,0
23,0.79,0.21,0,200,272,1,592,5,1,100,2000,0.8341,0.028872,0.3318,0.3318,NaN,NaN,NaN,0.79,0.21,0,0.79,0.21
24,1,0,0,200,259,1,588,5,1,100,2000,0.8342,0.02878419,0,0,NaN,NaN,NaN,1,0,0,1,0
25,0.79,0.21,0,200,272,1,588,5,0.8,100,2000,0.8342,0.02878419,0.3318,0.3318,NaN,NaN,NaN,0.79,0.21,0,0.79,0.21
26,0.99,0,0.01,200,257,1,587,5,1,100,2000,0.8269,0.03087176,0.0199,0.019701,NaN,NaN,NaN,0.99,0,0.01,0.99,0
27,1,0,0,200,268,1,594,5,1,100,2000,0.8291,0.029103,0,0,NaN,NaN,NaN,1,0,0,1,0
28,1,0,0,200,265,1,588,5,1,100,2000,0.8292,0.02902819,0,0,NaN,NaN,NaN,1,0,0,1,0
29,1,0,0,200,265,1,591,5,1,100,2000,0.8294,0.02888451,0,0,NaN,NaN,NaN,1,0,0,1,0
30,0.98,0,0.02,200,270,1,588,5,1,100,2000,0.8125,0.03021024,0.0396000000000001,0.0388080000000001,NaN,NaN,NaN,0.98,0,0.02,0.98,0
31,0.05,0.94,0.01,200,283,1,609,5,1,100,2000,0.8117,0.02946144,0.1139,0.112761,NaN,NaN,NaN,0.05,0.94,0.01,0.05,0.94
32,0.79,0.2,0.01,200,285,1,593,5,1,100,2000,0.812,0.02927739,0.3359,0.332541,NaN,NaN,NaN,0.79,0.2,0.01,0.79,0.2
33,0.97,0,0.03,200,261,1,580,5,1,100,2000,0.7917,0.03197544,0.0591,0.057327,NaN,NaN,NaN,0.97,0,0.03,0.97,0
34,0.97,0,0.03,200,276,1,586,5,1,100,2000,0.784,0.03341979,0.0591,0.057327,NaN,NaN,NaN,0.97,0,0.03,0.97,0
35,0.78,0.21,0.01,200,303,1,599,5,1,100,2000,0.7854,0.03307091,0.3475,0.344025,NaN,NaN,NaN,0.78,0.21,0.01,0.78,0.21
36,0.05,0.91,0.04,200,287,1,586,5,1,100,2000,0.7871,0.032193,0.1694,0.162624,NaN,NaN,NaN,0.05,0.91,0.04,0.05,0.91
37,0.93,0,0.07,200,280,1,585,5,1,100,2000,0.7706,0.03587275,0.1351,0.125643,NaN,NaN,NaN,0.93,0,0.07,0.93,0
38,0.04,0.95,0.01,200,292,1,602,5,0.8,100,2000,0.7777,0.03393024,0.0959,0.094941,NaN,NaN,NaN,0.04,0.95,0.01,0.04,0.95
39,0.98,0.01,0.01,200,281,1,585,5,0.8,100,2000,0.7763,0.03441356,0.0395000000000001,0.0391050000000001,NaN,NaN,NaN,0.98,0.01,0.01,0.98,0.01
40,0.64,0.02,0.34,200,210,1,481,5,0.8,100,2000,0.7521,0.036294,0.59,0.3894,NaN,NaN,NaN,0.64,0.02,0.34,0.64,0.02
41,0.97,0,0.03,200,282,1,578,5,1,100,2000,0.759,0.03606579,0.0591,0.057327,NaN,NaN,NaN,0.97,0,0.03,0.97,0
42,1,0,0,200,297,1,594,5,1,100,2000,0.763,0.03474259,0,0,NaN,NaN,NaN,1,0,0,1,0
43,0.75,0.01,0.24,200,231,1,510,5,0.8,100,2000,0.763,0.03474259,0.4374,0.332424,NaN,NaN,NaN,0.75,0.01,0.24,0.75,0.01
44,0.05,0.71,0.24,200,243,1,520,5,1,100,2000,0.7355,0.03475884,0.4934,0.374984,NaN,NaN,NaN,0.05,0.71,0.24,0.05,0.71
45,0.16,0.58,0.26,200,239,1,514,5,1,100,2000,0.7442,0.03447619,0.638,0.47212,NaN,NaN,NaN,0.16,0.58,0.26,0.16,0.58
46,0.06,0,0.94,200,31,1,231,5,1,100,2000,0.7434,0.03293611,0.9964,0.0597840000000001,NaN,NaN,NaN,0.06,0,0.94,0.06,0
47,0.16,0,0.84,200,48,1,257,5,1,100,2000,0.7451,0.032299,0.9744,0.155904,NaN,NaN,NaN,0.16,0,0.84,0.16,0
