Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.05,0,0.95,200,22,1,222,5,1,100,2000,0.434292945862069,0.0232075511870853,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
1,0.05,0,0.95,200,32,1,232,5,1,100,2000,0.443398,0.022205823396,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
2,0.07,0.01,0.92,200,43,1,243,5,0.8,100,2000,0.456597,0.024689109291,0.995,0.0796,NaN,NaN,NaN,0.07,0.01,0.92,0.07,0.01
3,0.06,0.03,0.91,200,36,1,239,5,1,100,2000,0.466897,0.025258141091,0.9955,0.089595,NaN,NaN,NaN,0.06,0.03,0.91,0.06,0.03
4,0.1,0.03,0.87,200,65,1,269,5,0.8,100,2000,0.481698,0.028349066596,0.9891,0.128583,NaN,NaN,NaN,0.1,0.03,0.87,0.1,0.03
5,0.09,0.05,0.86,200,50,1,254,5,0.6,100,2000,0.490398,0.028552451396,0.9894,0.138516,NaN,NaN,NaN,0.09,0.05,0.86,0.09,0.05
6,0.15,0,0.85,200,54,1,257,5,1,100,2000,0.506399,0.030568122699,0.9775,0.146625,NaN,NaN,NaN,0.15,0,0.85,0.15,0
7,0.18,0,0.82,200,54,1,260,5,1,100,2000,0.521599,0.033219593099,0.9676,0.174168,NaN,NaN,NaN,0.18,0,0.82,0.18,0
8,0.2,0.02,0.78,200,78,1,288,5,1,100,2000,0.540899999999999,0.03584936,0.9596,0.211112,NaN,NaN,NaN,0.2,0.02,0.78,0.2,0.02
9,0.17,0.13,0.7,200,104,1,321,5,1,100,2000,0.566,0.03913419,0.9542,0.28626,NaN,NaN,NaN,0.17,0.13,0.7,0.17,0.13
10,0.24,0.11,0.65,200,105,1,322,5,0.8,100,2000,0.5984,0.04461611,0.9303,0.325605,NaN,NaN,NaN,0.24,0.11,0.65,0.24,0.11
11,0.23,0.21,0.56,200,141,1,372,5,1,100,2000,0.6293,0.04860936,0.903,0.39732,NaN,NaN,NaN,0.23,0.21,0.56,0.23,0.21
12,0.29,0.31,0.4,200,182,1,426,5,0.8,100,2000,0.6624,0.04761371,0.8198,0.49188,NaN,NaN,NaN,0.29,0.31,0.4,0.29,0.31
13,0.79,0,0.21,200,246,1,525,5,1,100,2000,0.7001,0.046752,0.3759,0.296961,NaN,NaN,NaN,0.79,0,0.21,0.79,0
14,0.19,0.64,0.17,200,274,1,556,5,1,100,2000,0.7531,0.043197,0.5543,0.460069,NaN,NaN,NaN,0.19,0.64,0.17,0.19,0.64
15,0.71,0.23,0.06,200,273,1,573,5,1,100,2000,0.7878,0.03666171,0.443,0.41642,NaN,NaN,NaN,0.71,0.23,0.06,0.71,0.23
16,1,0,0,200,277,1,596,5,1,100,2000,0.8177,0.03225424,0,0,NaN,NaN,NaN,1,0,0,1,0
17,1,0,0,200,260,1,588,5,1,100,2000,0.8408,0.02767851,0,0,NaN,NaN,NaN,1,0,0,1,0
18,1,0,0,200,255,1,591,5,1,100,2000,0.8584,0.02533811,0,0,NaN,NaN,NaN,1,0,0,1,0
19,1,0,0,200,253,1,591,5,1,100,2000,0.867,0.02311539,0,0,NaN,NaN,NaN,1,0,0,1,0
20,1,0,0,200,243,1,588,5,1,100,2000,0.8724,0.02178771,0,0,NaN,NaN,NaN,1,0,0,1,0
21,0.04,0.96,0,200,253,1,598,5,0.8,100,2000,0.8776,0.02019675,0.0768,0.0768,NaN,NaN,NaN,0.04,0.96,0,0.04,0.96
22,1,0,0,200,252,1,596,5,1,100,2000,0.8812,0.01970779,0,0,NaN,NaN,NaN,1,0,0,1,0
23,0.05,0.95,0,200,261,1,605,5,1,100,2000,0.8815,0.01940404,0.0950000000000001,0.0950000000000001,NaN,NaN,NaN,0.05,0.95,0,0.05,0.95
24,1,0,0,200,225,1,588,5,1,100,2000,0.8816,0.01930675,0,0,NaN,NaN,NaN,1,0,0,1,0
25,1,0,0,200,247,1,592,5,1,100,2000,0.8816,0.01930675,0,0,NaN,NaN,NaN,1,0,0,1,0
26,1,0,0,200,236,1,588,5,1,100,2000,0.882,0.01893739,0,0,NaN,NaN,NaN,1,0,0,1,0
27,1,0,0,200,250,1,594,5,1,100,2000,0.8821,0.01885,0,0,NaN,NaN,NaN,1,0,0,1,0
28,1,0,0,200,244,1,588,5,1,100,2000,0.8822,0.01876459,0,0,NaN,NaN,NaN,1,0,0,1,0
29,0.05,0.95,0,200,248,1,599,5,1,100,2000,0.8824,0.01859971,0.0950000000000001,0.0950000000000001,NaN,NaN,NaN,0.05,0.95,0,0.05,0.95
30,1,0,0,200,245,1,595,5,1,100,2000,0.8825,0.01852024,0,0,NaN,NaN,NaN,1,0,0,1,0
31,0.05,0.95,0,200,256,1,607,5,1,100,2000,0.8825,0.01852024,0.0950000000000001,0.0950000000000001,NaN,NaN,NaN,0.05,0.95,0,0.05,0.95
32,1,0,0,200,244,1,588,5,1,100,2000,0.8828,0.01829371,0,0,NaN,NaN,NaN,1,0,0,1,0
33,1,0,0,200,228,1,588,5,1,100,2000,0.8828,0.01829371,0,0,NaN,NaN,NaN,1,0,0,1,0
34,1,0,0,200,250,1,596,5,1,100,2000,0.8831,0.018085,0,0,NaN,NaN,NaN,1,0,0,1,0
35,0.04,0.96,0,200,250,1,604,5,0.8,100,2000,0.8831,0.018085,0.0768,0.0768,NaN,NaN,NaN,0.04,0.96,0,0.04,0.96
36,1,0,0,200,233,1,588,5,1,100,2000,0.8834,0.01789411,0,0,NaN,NaN,NaN,1,0,0,1,0
37,1,0,0,200,260,1,604,5,1,100,2000,0.8834,0.01789411,0,0,NaN,NaN,NaN,1,0,0,1,0
38,0.04,0.96,0,200,253,1,604,5,0.8,100,2000,0.8834,0.01789411,0.0768,0.0768,NaN,NaN,NaN,0.04,0.96,0,0.04,0.96
39,0.99,0.01,0,200,233,1,588,5,0.8,100,2000,0.8836,0.01777675,0.0198,0.0198,NaN,NaN,NaN,0.99,0.01,0,0.99,0.01
40,0.99,0.01,0,200,240,1,591,5,0.8,100,2000,0.8836,0.01777675,0.0198,0.0198,NaN,NaN,NaN,0.99,0.01,0,0.99,0.01
41,1,0,0,200,243,1,588,5,1,100,2000,0.8837,0.01772104,0,0,NaN,NaN,NaN,1,0,0,1,0
42,1,0,0,200,248,1,594,5,1,100,2000,0.8839,0.01761556,0,0,NaN,NaN,NaN,1,0,0,1,0
43,0.99,0.01,0,200,251,1,595,5,0.8,100,2000,0.8839,0.01761556,0.0198,0.0198,NaN,NaN,NaN,0.99,0.01,0,0.99,0.01
44,0.05,0.95,0,200,254,1,610,5,1,100,2000,0.884,0.01756579,0.0950000000000001,0.0950000000000001,NaN,NaN,NaN,0.05,0.95,0,0.05,0.95
45,0.05,0.95,0,200,257,1,618,5,1,100,2000,0.8841,0.017518,0.0950000000000001,0.0950000000000001,NaN,NaN,NaN,0.05,0.95,0,0.05,0.95
46,1,0,0,200,240,1,596,5,1,100,2000,0.8842,0.01747219,0,0,NaN,NaN,NaN,1,0,0,1,0
47,1,0,0,200,241,1,588,5,1,100,2000,0.8843,0.01742836,0,0,NaN,NaN,NaN,1,0,0,1,0
48,1,0,0,200,247,1,592,5,1,100,2000,0.8844,0.01738651,0,0,NaN,NaN,NaN,1,0,0,1,0
49,1,0,0,200,244,1,604,5,1,100,2000,0.8844,0.01738651,0,0,NaN,NaN,NaN,1,0,0,1,0
50,1,0,0,200,253,1,610,5,1,100,2000,0.8846,0.01730875,0,0,NaN,NaN,NaN,1,0,0,1,0
51,0.04,0.96,0,200,256,1,612,5,0.8,100,2000,0.8849,0.01720696,0.0768,0.0768,NaN,NaN,NaN,0.04,0.96,0,0.04,0.96
52,1,0,0,200,242,1,594,5,1,100,2000,0.886,0.01698619,0,0,NaN,NaN,NaN,1,0,0,1,0
53,0.04,0.96,0,200,263,1,617,5,0.8,100,2000,0.8869,0.01698376,0.0768,0.0768,NaN,NaN,NaN,0.04,0.96,0,0.04,0.96
54,1,0,0,200,238,1,594,5,1,100,2000,0.8869,0.01698376,0,0,NaN,NaN,NaN,1,0,0,1,0
55,0.04,0.96,0,200,236,1,592,5,0.8,100,2000,0.8869,0.01698376,0.0768,0.0768,NaN,NaN,NaN,0.04,0.96,0,0.04,0.96
56,1,0,0,200,238,1,588,5,1,100,2000,0.8869,0.01698376,0,0,NaN,NaN,NaN,1,0,0,1,0
57,1,0,0,200,231,1,592,5,1,100,2000,0.8869,0.01698376,0,0,NaN,NaN,NaN,1,0,0,1,0
58,1,0,0,200,242,1,592,5,1,100,2000,0.8869,0.01698376,0,0,NaN,NaN,NaN,1,0,0,1,0
59,1,0,0,200,232,1,588,5,1,100,2000,0.8869,0.01698376,0,0,NaN,NaN,NaN,1,0,0,1,0
60,1,0,0,200,229,1,588,5,1,100,2000,0.8869,0.01698376,0,0,NaN,NaN,NaN,1,0,0,1,0
61,1,0,0,200,242,1,594,5,1,100,2000,0.8869,0.01698376,0,0,NaN,NaN,NaN,1,0,0,1,0
62,1,0,0,200,220,1,588,5,1,100,2000,0.8869,0.01698376,0,0,NaN,NaN,NaN,1,0,0,1,0
63,1,0,0,200,238,1,588,5,1,100,2000,0.8869,0.01698376,0,0,NaN,NaN,NaN,1,0,0,1,0
64,1,0,0,200,232,1,588,5,1,100,2000,0.8869,0.01698376,0,0,NaN,NaN,NaN,1,0,0,1,0
