Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.04,0.01,0.95,200,45,1,248,5,0.8,100,2000,0.0667623333333333,0.0111897331701111,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
1,0.04,0.01,0.95,200,63,1,263,5,0.8,100,2000,0.0626062261904762,0.00791936790881108,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
2,0.04,0.01,0.95,200,48,1,248,5,0.8,100,2000,0.0713177747619047,0.00824315423554376,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
3,0.04,0.01,0.95,200,48,1,248,5,0.8,100,2000,0.0733167747619047,0.00857740276628376,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
4,0.04,0.01,0.95,200,78,1,278,5,0.8,100,2000,0.0788493369047619,0.00947311517128777,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
5,0.04,0.01,0.95,200,48,1,248,5,0.8,100,2000,0.0810175511904762,0.00992028820640426,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
6,0.04,0.01,0.95,200,48,1,248,5,0.8,100,2000,0.0865439047619048,0.0112726580574059,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
7,0.04,0.01,0.95,200,48,1,248,5,0.8,100,2000,0.0883009047619048,0.0119554896937392,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
8,0.04,0.02,0.94,200,54,1,254,5,0.8,100,2000,0.0925780238095238,0.013487802939326,0.998,0.0598800000000001,0,0.087,0.913,0.0519,0,0.9481,0.04,0.02
9,0.05,0.02,0.93,200,64,1,266,5,0.8,100,2000,0.0950237619047619,0.0144085842442154,0.9971,0.069797,0,0.087,0.913,0.0649,0,0.9351,0.05,0.02
10,0.05,0.02,0.93,200,60,1,260,5,0.8,100,2000,0.0991112380952381,0.015687832868263,0.9971,0.069797,0,0.087,0.913,0.0649,0,0.9351,0.05,0.02
11,0.05,0.02,0.93,200,60,1,260,5,0.8,100,2000,0.102267285714286,0.01623680650778,0.9971,0.069797,0,0.087,0.913,0.0649,0,0.9351,0.05,0.02
12,0.05,0.02,0.93,200,60,1,260,5,0.8,100,2000,0.104735238095238,0.0170396874099773,0.9971,0.069797,0,0.087,0.913,0.0649,0,0.9351,0.05,0.02
13,0.06,0.02,0.92,200,66,1,266,5,0.8,100,2000,0.106493119047619,0.0177532924477205,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
14,0.06,0.02,0.92,200,77,1,278,5,0.8,100,2000,0.109297142857143,0.0186515134494331,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
15,0.06,0.02,0.92,200,64,1,266,5,0.8,100,2000,0.112161928571429,0.0190800556637749,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
16,0.06,0.02,0.92,200,65,1,266,5,0.8,100,2000,0.115321904761905,0.0203756373623583,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
